Top pages,Clicks,Impressions,CTR,Position
http://spadoc.tech/,18,373,4.83%,2.53
https://www.spadoc.tech/,0,101,0%,28.38
https://www.spadoc.tech/services,0,40,0%,33.7
https://www.spadoc.tech/contact,0,38,0%,17.82
https://www.spadoc.tech/blog/1751604685579,0,29,0%,69.86
https://www.spadoc.tech/about,0,27,0%,26.3
https://www.spadoc.tech/blog,0,5,0%,50.8
https://www.spadoc.tech/blog/1751604686052,0,2,0%,51
https://www.spadoc.tech/blog/1751604685895,0,1,0%,16
https://www.spadoc.tech/blog?category=professional-services,0,1,0%,64
https://www.spadoc.tech/gallery,0,1,0%,74